HATCHBACK
FORD FIGO,1001,Yes
MARUTI SWIFT,1002,Yes
BALENO,1003,Yes
MAHINDRA KUV 100,1004,Yes
MARUTI RITZ,1005,Yes
HYUNDAI 120 ELITE,1006,Yes
JAZZ SMT 1.5 IDTEC,1007,Yes
THE RAPTOR,1008,Yes
GRAND I10,1009,No

SEDAN
HONDA AMAZE,2001,Yes
HONDA CITY,2002,Yes
MARUTI CIAZ,2003,Yes
FORD ASPIRE,2004,Yes
MARUTI CIAZ MT,2005,Yes

SUV
FORD ECOSPORT,4001,Yes
MAHINDRA SCORPIO,4002,Yes
MAHINDRA XUV,4003,Yes
FORD ENDEAVOUR,4004,Yes
HYUNDAI CRETA,4005,Yes
TOYOTA FORTUNER,4006,Yes

LUXURY
MERCEDES GLA,3001,Yes
AUDI Q3,3002,Yes

